kills,total_drops,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
470,93,5,2,3,5,2,4,1,3,5,1,2,1,3,1,5,2,1,5,3,1,8,1,3,7,5,1,8,5
523,99,2,3,3,6,3,5,2,4,5,1,5,2,7,3,5,2,3,4,6,2,7,2,2,1,4,2,4,4
280,56,4,2,2,5,2,3,1,3,3,2,2,2,2,1,2,1,1,4,1,1,1,1,1,1,1,1,3,3
962,200,9,7,6,9,8,6,6,5,4,4,5,10,7,8,4,13,8,8,9,8,11,6,5,11,7,7,8,1
518,112,1,2,2,4,6,6,4,1,4,4,3,7,1,3,8,4,6,4,4,2,7,5,3,5,3,3,3,7
754,159,9,3,5,2,5,1,5,2,7,5,5,9,11,7,6,3,4,8,7,7,7,5,10,8,4,6,3,5
382,83,5,4,2,2,2,5,3,2,1,1,2,1,1,3,2,2,3,2,6,5,4,4,4,4,4,6,2,1
344,71,2,1,3,3,3,2,3,2,2,5,2,3,2,1,4,3,2,2,4,4,2,3,2,1,1,3,4,2
681,147,5,6,4,5,7,5,8,3,3,11,1,4,1,2,5,3,6,8,4,6,6,14,6,5,5,6,3,5
707,147,7,1,12,9,6,2,2,3,2,6,9,8,11,5,1,4,4,6,3,4,7,5,3,6,5,4,5,7
654,138,5,5,7,3,3,1,6,6,7,5,9,8,5,6,1,6,5,1,5,2,9,9,4,2,4,6,5,3
609,105,5,7,3,3,2,5,3,1,3,2,7,2,3,2,1,5,2,7,5,4,6,4,5,1,5,1,4,7
512,115,4,8,7,1,2,2,6,2,3,5,2,3,2,2,5,6,7,6,5,4,5,2,5,1,5,5,6,4
444,107,5,5,3,2,1,3,5,2,1,6,9,5,3,7,4,3,3,1,3,6,3,3,1,2,5,5,4,7
463,93,1,4,6,2,3,3,3,2,4,1,1,4,8,2,1,5,5,1,3,5,4,3,1,4,3,6,6,2
654,118,1,3,2,4,5,5,4,3,5,6,1,5,2,3,3,5,6,7,6,5,4,5,5,3,6,3,8,3
484,88,3,3,4,1,2,6,2,2,5,3,2,7,3,1,3,4,4,4,1,1,2,1,3,7,4,5,2,3
557,125,7,6,8,1,8,4,5,3,3,3,7,2,5,2,4,2,3,6,5,4,3,7,3,2,7,7,2,6
557,121,7,6,6,6,5,5,3,4,7,7,2,2,1,6,5,2,6,6,3,4,4,3,4,3,5,4,4,1
369,89,3,2,2,4,1,1,5,6,3,2,3,4,3,6,3,4,3,2,2,2,2,3,2,1,6,5,2,7
362,81,2,1,2,6,4,3,3,3,1,3,1,4,3,3,2,2,2,3,8,4,3,3,1,3,3,2,4,2
417,91,4,6,3,3,2,2,2,3,4,4,5,2,6,6,1,4,4,2,2,3,2,5,1,3,1,1,6,4
591,117,1,4,3,6,1,2,9,6,6,4,2,3,5,4,2,4,4,3,3,4,3,7,2,6,7,8,5,3
655,128,3,4,8,7,4,6,8,3,5,3,3,1,4,5,4,4,4,5,3,8,3,4,5,5,8,4,1,6
559,105,7,1,1,5,2,8,4,2,1,2,6,3,6,2,2,5,3,5,5,4,2,5,3,6,4,2,6,3
542,106,5,1,6,7,1,3,3,1,4,6,5,2,5,4,4,5,3,2,3,6,3,7,4,3,4,4,3,2
439,88,6,2,7,3,3,3,1,3,2,2,5,3,2,4,2,1,6,3,2,5,3,2,4,3,5,2,3,1
551,102,7,1,5,1,4,4,3,2,4,5,6,1,1,2,6,3,2,1,3,3,7,4,8,5,1,6,3,4
385,74,1,1,3,4,4,2,3,2,3,1,2,5,1,2,1,3,3,4,4,3,5,1,8,1,3,1,1,2
797,151,3,7,10,4,3,4,9,5,12,4,6,5,2,5,1,5,4,5,6,2,10,4,6,4,6,7,6,6
346,73,3,1,1,2,4,4,2,3,3,4,2,3,4,1,2,5,5,2,1,3,1,1,2,2,1,1,8,2
715,137,2,3,7,2,5,7,9,6,1,4,7,4,1,8,7,7,4,6,6,7,3,6,2,3,8,4,3,5
530,111,5,3,4,1,6,3,3,5,5,1,2,4,4,2,3,1,7,3,6,6,7,3,1,3,9,3,3,8
477,97,5,6,3,2,4,3,8,6,1,4,1,3,5,3,4,3,4,1,3,1,2,2,3,3,4,5,6,2
915,193,5,10,1,8,2,7,9,5,7,8,7,7,10,7,5,12,9,11,7,4,4,5,4,10,7,9,4,9
714,136,8,4,5,6,9,8,6,2,1,8,1,7,3,1,4,7,6,4,5,7,4,4,5,2,5,2,7,5
315,67,2,3,2,1,3,2,1,4,3,1,2,6,2,1,1,3,1,3,3,1,3,4,3,3,4,2,2,1
418,77,5,3,2,1,2,3,2,1,1,4,1,3,8,4,2,2,3,3,6,3,1,3,3,2,1,1,4,3
596,121,5,5,2,4,3,5,5,6,6,3,9,5,2,5,6,1,3,3,3,2,8,3,3,6,4,6,5,3
390,66,4,1,4,3,3,1,4,1,1,1,1,1,7,2,3,3,3,5,2,1,3,1,5,1,1,1,1,2
612,154,4,7,4,7,5,5,9,7,1,8,6,6,5,5,5,9,6,4,5,3,8,2,4,5,5,4,4,11
404,84,1,5,4,7,1,1,7,2,4,2,2,2,3,2,1,1,1,2,2,3,6,2,6,6,2,4,1,4
532,105,4,8,2,5,4,5,3,1,5,8,1,3,3,3,3,1,5,3,7,3,2,3,5,5,3,4,3,3
427,89,3,1,3,4,3,3,1,2,6,4,3,1,1,3,4,1,6,6,3,8,1,5,4,2,3,2,1,5
342,81,2,2,1,5,4,1,1,3,4,4,4,6,2,4,1,2,1,2,1,3,2,4,4,4,2,3,4,5
407,86,7,7,4,1,1,5,2,1,5,5,6,3,3,1,3,1,1,3,2,3,2,7,3,1,2,3,3,1
616,113,4,4,5,8,4,2,4,1,3,4,1,7,5,5,3,5,4,2,4,3,4,4,5,4,6,4,2,6
403,90,2,3,3,8,6,4,4,4,3,1,2,1,4,4,2,1,3,4,4,3,1,2,7,3,1,4,5,1
648,139,6,7,5,4,7,3,7,1,5,4,7,3,7,10,7,5,1,5,6,3,2,5,2,2,8,8,5,4
356,69,1,2,3,5,2,4,1,1,3,2,2,2,2,2,5,2,1,2,4,2,3,5,2,3,1,1,4,2
616,119,3,4,5,6,4,1,8,4,3,6,6,8,1,3,7,5,6,3,5,5,3,1,4,3,5,3,5,2
1335,260,12,9,10,13,13,10,13,7,9,9,13,14,7,9,7,13,17,7,7,11,5,7,1,9,11,10,4,3
324,79,6,2,3,1,2,1,1,4,4,1,10,3,3,1,2,1,2,1,4,5,7,1,1,1,3,4,3,2
268,55,2,3,2,1,2,2,2,1,3,2,1,2,2,3,1,2,3,1,5,3,2,1,1,2,1,2,1,2
371,79,2,2,3,3,3,3,2,1,3,5,3,3,3,1,4,3,2,1,5,2,3,2,4,4,4,3,1,4
446,82,1,7,2,4,3,3,2,4,4,2,3,2,2,2,1,4,4,2,7,2,4,2,6,1,1,3,3,1
597,140,8,1,7,5,5,4,4,3,2,2,9,5,3,5,9,4,4,8,4,6,4,8,5,5,6,3,6,5
513,101,7,2,3,3,3,6,4,4,3,1,3,3,1,5,7,5,2,2,3,8,4,1,4,3,4,3,3,4
461,110,3,1,4,5,3,4,4,5,4,5,6,4,3,3,3,3,4,5,6,2,4,3,6,5,5,2,4,4
474,85,2,1,4,1,1,1,9,3,1,3,4,6,1,3,4,2,3,1,6,4,2,3,4,4,3,4,1,4
511,112,4,3,6,2,3,4,2,3,3,6,3,8,3,1,5,2,1,2,7,8,7,4,4,4,9,1,3,4
646,113,5,5,1,2,4,8,7,4,4,4,6,5,4,2,3,4,1,3,5,2,3,3,4,5,2,4,9,4
527,113,5,7,4,2,3,4,7,5,7,4,4,4,2,7,6,3,3,1,4,1,2,3,5,1,4,6,3,6
575,106,2,1,2,1,5,5,6,1,2,1,2,2,3,3,8,4,5,7,2,8,4,5,4,8,3,3,3,6
379,76,2,1,3,5,3,2,2,3,3,1,5,6,2,3,4,4,1,1,2,5,2,2,2,3,3,1,2,3
755,136,8,6,6,7,6,9,3,2,4,7,5,3,3,3,4,4,3,4,4,5,7,5,3,12,5,5,1,2
494,103,5,2,3,2,2,3,5,1,6,5,4,1,5,4,2,5,3,5,3,2,3,4,3,4,5,6,7,3
451,92,4,7,1,4,2,2,2,2,1,4,5,3,7,3,4,3,5,2,4,6,3,1,3,1,7,3,1,2
791,149,3,7,9,4,4,8,1,5,4,10,5,4,5,4,4,8,8,7,6,6,5,6,9,5,3,1,3,5
492,108,1,3,6,4,6,4,2,4,8,3,3,9,3,3,2,2,2,3,6,4,4,2,4,2,1,7,5,5
715,159,7,7,7,7,6,8,5,8,4,4,1,7,3,4,4,10,5,5,6,1,9,3,3,10,4,3,9,9
608,104,5,2,3,5,3,4,3,5,5,5,3,2,6,4,4,6,5,2,2,1,4,2,1,5,5,4,6,2
1110,223,12,7,10,9,9,10,9,4,9,9,3,3,6,12,11,11,8,10,6,10,5,7,12,5,4,1,9,12
565,120,3,3,1,4,4,4,5,6,4,6,4,4,5,5,3,8,5,5,3,4,1,6,1,4,9,4,5,4
539,108,7,6,3,4,4,7,2,4,4,1,4,5,5,5,3,4,4,1,2,6,7,3,1,5,1,2,5,3
614,110,4,7,4,3,2,2,3,5,2,4,5,2,2,4,6,1,7,6,4,1,6,6,3,1,4,3,7,6
348,74,1,4,2,4,3,1,2,3,2,4,5,1,5,1,4,2,3,3,3,1,3,3,3,4,2,2,1,2
397,87,3,3,5,4,2,1,2,4,1,4,2,3,6,2,2,4,2,3,4,3,3,5,4,2,5,3,2,3
